fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_measurement_deg,local_feature_count,runtime_s,site,status
,,,-0.27220387723835904,1,,1,skipped_insufficient_features
,,,-1.9318747485652559,1,,2,skipped_insufficient_features
,,,-40.71819704388585,2,,3,skipped_insufficient_features
,,,-64.79133493705918,1,,4,skipped_insufficient_features
,,,-147.34555813717074,0,,5,skipped_insufficient_features
,,,-149.25701624245687,2,,6,skipped_insufficient_features
,,,-109.2759993649763,1,,7,skipped_insufficient_features
,,,-114.39735521942477,1,,8,skipped_insufficient_features
,,,-104.79089921902104,1,,9,skipped_insufficient_features
,,,-111.72540843703277,1,,10,skipped_insufficient_features
,,,-110.5384072461038,1,,11,skipped_insufficient_features
,,,-95.71127683719807,1,,12,skipped_insufficient_features
,,,-99.79358424542976,1,,13,skipped_insufficient_features
,,,-131.9409613661199,0,,14,skipped_insufficient_features
,,,148.4489082081921,2,,15,skipped_insufficient_features
,,,-138.39500865476546,1,,16,skipped_insufficient_features
,,,-143.02059009636423,2,,17,skipped_insufficient_features
raw_lidar_xy_decimated,24985,0.125,-139.12382904054863,3,0.5025129109999398,18,no_solution
,,,-163.07943097450712,2,,19,skipped_insufficient_features
raw_lidar_xy_decimated,31729,0.125,-137.02000719215434,4,3.6097532749990933,20,no_solution
,,,-139.50755383711078,2,,21,skipped_insufficient_features
,,,-154.6185220563164,2,,22,skipped_insufficient_features
,,,-158.94227573393476,2,,23,skipped_insufficient_features
,,,-138.21486385709562,0,,24,skipped_insufficient_features
,,,116.45158980740251,0,,25,skipped_insufficient_features
,,,94.64262420433211,1,,26,skipped_insufficient_features
,,,165.23564396358438,1,,27,skipped_insufficient_features
,,,-146.19826293198696,0,,28,skipped_insufficient_features
